id,name,base_experience,height,weight,ability_1_name,ability_1_description,ability_1_is_hidden,ability_2_name,ability_2_description,ability_2_is_hidden,hp,attack,defense,special-attack,special-defense,speed,total,type_1,type_2,base_happiness,capture_rate,pre_evolution,evolution_1,evolution_2,evolution_3,gender_rate,generation,growth_rate,ability_3_name,ability_3_description,ability_3_is_hidden,url_sprite,url_cry,url_type_1_tag,url_type_2_tag
1,bulbasaur,64,7,69,overgrow,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",False,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,True,45,49,49,65,65,45,318,grass,poison,50,45,,ivysaur,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Bulbasaur.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/001 - Bulbasaur.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
2,ivysaur,142,10,130,overgrow,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",False,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,True,60,62,63,80,80,60,405,grass,poison,50,45,bulbasaur,venusaur,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Ivysaur.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/002 - Ivysaur.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
3,venusaur,263,20,1000,overgrow,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",False,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,True,80,82,83,100,100,80,525,grass,poison,50,45,ivysaur,,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Venusaur.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/003 - Venusaur.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
4,charmander,62,6,85,blaze,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",False,solar-power,"During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.",True,39,52,43,60,50,65,309,fire,,50,45,,charmeleon,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Charmander.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/004 - Charmander.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
5,charmeleon,142,11,190,blaze,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",False,solar-power,"During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.",True,58,64,58,80,65,80,405,fire,,50,45,charmander,charizard,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Charmeleon.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/005 - Charmeleon.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
6,charizard,267,17,905,blaze,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",False,solar-power,"During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.",True,78,84,78,109,85,100,534,fire,flying,50,45,charmeleon,,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Charizard.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/006 - Charizard.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
7,squirtle,63,5,90,torrent,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",False,rain-dish,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,True,44,48,65,50,64,43,314,water,,50,45,,wartortle,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Squirtle.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/007 - Squirtle.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
8,wartortle,142,10,225,torrent,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",False,rain-dish,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,True,59,63,80,65,80,58,405,water,,50,45,squirtle,blastoise,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Wartortle.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/008 - Wartortle.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
9,blastoise,265,16,855,torrent,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",False,rain-dish,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,True,79,83,100,85,105,78,530,water,,50,45,wartortle,,,,0.125,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Blastoise.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/009 - Blastoise.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
10,caterpie,39,3,29,shield-dust,"This Pokémon is immune to the extra effects of moves used against it. An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",False,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",True,45,30,35,20,20,45,195,bug,,50,255,,metapod,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Caterpie.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/010 - Caterpie.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,
